Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,Australia,AUS,459760073.561612,470960075.353612,489440078.310413,553280088.524814,655760104.921617,787360125.97762,986720157.875225,1197840191.65443,1321600211.45603,1314880210.38083,1277360204.37763,1331754789.44566,1484443744.94753,1855729306.59264,2127274762.94236,2268707674.46336,2441084024.61737,2500485127.38059,2816316205.75076,3100685079.26643,3657867289.72814,4323644156.90375,4459544581.75223,4511671066.02643,4925319432.74361,4386859325.7862,4606710027.60751,5057135655.16952,5836347868.20948,6300015815.27756,6704213698.03132,7023509067.11535,6882091580.0683,6733829289.52236,7459696581.9777,7665878445.99453,8202776516.98934,7936884917.39524,7107542890.88659,7770250653.24688,7273760312.61052,7043145895.39887,7946766201.59082,9926649415.33553,11995219709.5054,13237798498.6292,14239779513.0914,17186440961.6173,18633092318.2741,18960138513.0129,23217692815.7335,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24045569111.0239,26382947050.0183,27691112416.8515,26711834224.7385
Military expenditure (current USD),MS.MIL.XPND.CD,Austria,AUT,91559097.9576499,91029854.6168543,100026991.410381,125959915.109368,164594678.987452,142895702.014829,167770139.032226,176767275.825752,182059709.233709,193173819.390418,199524739.479966,209277606.745348,249425547.367042,328898821.44589,422543505.786049,546724394.020795,581408727.267149,686893244.300868,877450655.245279,1049972515.42533,1152895906.47504,969372327.098363,995369996.934841,991995097.475966,949715291.722829,1036872489.29208,1475426088.99424,1737112605.38592,1713954576.8605,1623488055.24644,1972701681.51639,1994055545.99645,2139925321.74009,2115115266.68433,2227560550.13156,2557834494.18618,2457903048.65764,2164802343.39854,2159796003.21024,2124379545.86859,1925557398.19421,1788798310.52966,1881746741.32982,2381962768.92309,2679282064.65391,2686166243.8442,2640185362.43902,3499817967.31076,3746731607.28018,3334754939.61878,3218351224.09923,3409721208.58269,3187227448.7533,3229065841.34293,3305159256.48245,2665409781.52379,2885947386.10357,3138359204.00295,3367460382.82555
Military expenditure (current USD),MS.MIL.XPND.CD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11070110.701107,77519379.8449612,43942747.0585426,66159968.9138776,71606841.2432157,92086691.9675062,107262858.619798,120262173.966334,119575651.71524,131963660.064189,139894091.943335,176552162.305808,228249631.62565,304521477.7332,717111853.555619,946599792.104637,1607799225.91952,1472909976.94651,1476608733.57005,3080084995.80846,3246122612.63039,3367574161.19744,3427179917.06482,2943396692.69423,1396969107.65832,1528859592.29385,1708941176.47059
Military expenditure (current USD),MS.MIL.XPND.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,11583922.3582339,12539956.8625484,16765508.0949879,26346455.8950195,16434892.5410872,26289247.4450138,40439782.6361683,116143119.294469,157225700.11294,175066312.997347,239361702.12766,311170212.765958,183510638.297872,164893617.021277,167553191.489362,178191489.361702,178191489.361702,207446808.510638,218085106.382979,239361702.12766,263297872.340426,279255319.148936,279255319.148936,284574468.085106,303191489.361702,321808510.638298,321808510.638298,329787234.042553,364361702.12766,359042553.191489,372340425.531915,444148936.170213,515957446.808511,531914893.617021,513297872.340426,574202127.659575,642553191.489362,719946808.510638,828191489.361702,842819148.93617,1033510638.29787,1182180851.06383,1347606382.97872,1475265957.44681,1442021276.59574,1505534574.46809,1532712765.95745,1396808510.6383
Military expenditure (current USD),MS.MIL.XPND.CD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,48606800.1313768,72298235.0382714,80830559.4733651,105287729.075513,128522908.761231,134871031.705263,136251932.925634,167255351.167634,174106138.716989,184674562.508557,231804492.459502,244337571.539817,224948007.05318,248796417.166614,288311839.747867,331995586.627989,378796135.246148,373023438.959292,381720110.052258,427723624.979361,471044672.335061,547417522.185003,620095155.928424,638958844.832812,681915123.987305,701585600.35317,737412573.607247,740798160.005685,705481695.212977,681816161.719721,719442956.940887,770641160.288967,773677668.179153,829682794.837739,953464223.599622,1030020018.23876,1258791156.60238,1624625085.96641,1801539801.81356,1823425076.37789,2047989070.87034,2355991524.71152,2815281640.95454,3239738758.46616,3594007979.6026,3894695211.01616
Military expenditure (current USD),MS.MIL.XPND.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179081676.937766,182805614.55491,249384139.428528,227586087.288305,165903848.853768,140326204.73339,177697841.726619,204364237.375204,231563860.43768,314314017.757122,452684068.306544,631831238.109449,746943263.997614,883027522.93578,675426505.075097,767699285.884553,756277351.280397,817069894.085331,971107820.33885,1010827013.91149,723659954.96041,597207572.121991,631145399.244181,715166688.689712
Military expenditure (current USD),MS.MIL.XPND.CD,Belgium,BEL,383220247.363793,391218827.402035,422220787.917416,444601321.532591,497059226.927638,500722082.825724,563377895.390772,607918707.189363,646381114.508621,675078864.353312,747755088.868629,828721558.437287,1026588090.80827,1296519775.36788,1482318435.92776,1927662477.54259,2109619988.35942,2496513861.83075,3166647025.36802,3631580468.11257,3958575326.74283,3385176171.48879,2891774968.21585,2671831608.17975,2407447484.34478,2428223976.52078,3404311037.66514,4162992929.13576,4097149308.30983,3880733005.73301,4644324240.80376,4624500746.00154,4131298112.21321,3746042850.89637,3944101812.83271,4449014834.61072,4241865967.61501,3684095388.87611,3664288413.2382,3598447519.62175,3190805233.09379,3036035471.71837,3147146016.65804,3875697772.32025,4262663512.81717,4228224643.0881,4307895340.97481,5163979973.66685,6295821584.20918,5620670062.77758,5244720513.34689,5499370964.2666,5168997833.7235,5263164882.84678,5191509381.2684,4202062770.32272,4314102066.67306,4484652582.46034,4959692173.31775
Military expenditure (current USD),MS.MIL.XPND.CD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2079250,2576875,2899750,3256125,3263000,..,..,..,4355375,4768750,4732875,5292125,6130375,7899375,8052875,7965875,9395000,..,..,7116125,7454662.5,7829937.5,8552225,9486150,10710962.5,12283037.5,13759075,18717737.5,17267537.5,15337250,15416250,15219125,17778875,19916875,19717625,21712887.5,23456750,23083112.5
Military expenditure (current USD),MS.MIL.XPND.CD,Benin,BEN,1301005.3222945,2173203.94683193,2734537.61825855,2963071.79939269,3803662.45352553,3994923.71287149,3724387.20601763,3910553.2091333,4293821.82457132,4015987.01343663,4099087.20238203,4285361.4956638,4904216.99176282,6698401.4464599,6447726.47016057,7857666.1238469,7160493.82716049,10147346.141322,8552841.49324636,17562828.480364,23617947.7470655,17186114.2085371,16554779.888377,17765951.3050233,21237787.6999339,19810222.5199939,26277338.538749,35602937.4087051,36931589.2670087,28525930.384191,32817291.9765669,..,..,..,..,..,..,..,..,17843134.3887192,14496275.1553423,13112535.622252,26000447.6404185,34544046.7997247,41780478.3402898,44706029.5600871,46786130.9261986,..,64724601.1098581,..,..,..,78223091.0412182,86003157.6390576,92990706.1881213,90896085.8906078,79581568.0520594,116142782.36694,90212425.9945842
Military expenditure (current USD),MS.MIL.XPND.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bolivia,BOL,..,4935417.96405309,5195618.57100147,6404292.35811652,..,..,..,..,11583123.7931858,12254609.230472,16787135.9321534,15863843.4558849,20700640.9421659,21129139.9666588,39766636.0693248,58304466.4174311,66776055.5550065,73254329.6013878,97672439.468517,119737096.068101,159008134.942347,238715537.624444,123726843.539984,89973482.5986752,144680785.749052,131208000.213663,92869207.2219058,103362387.152732,92916951.6674937,101690872.434517,137065127.51571,143643960.107356,141441910.309395,109897117.990753,134595240.362557,140760862.77222,146963017.847677,180200446.875488,228677000.361153,176744242.061382,173245422.524961,184397571.031585,160437935.843794,173431324.804124,168881603.07046,169262316.422144,179525489.226898,221280687.788569,327194708.164325,345777777.777778,327413146.122021,403568566.057754,499870043.41534,564409840.81042,625885094.06657,575524224.942041,552381263.903278,574070189.61778,618842083.148114
Military expenditure (current USD),MS.MIL.XPND.CD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,241025517.642926,202282838.891357,200100307.270373,173304847.652475,178375570.051377,195049685.094472,233292390.653086,242471357.847559,219915489.524222,211878260.622344,197344650.21252,197617188.825905,190380454.641275,162215681.880471,157912010.578703,164638050.315372,221131597.126194
Military expenditure (current USD),MS.MIL.XPND.CD,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5650505.96227849,14305862.2942268,24355619.031493,31844060.6002123,31162681.7474526,23551463.5899229,24454614.2415651,26109660.5744125,20997913.3487861,34310908.1814021,73826342.8115359,93747094.7560689,102798415.794411,156250839.841545,172269188.151724,177986045.607732,185671482.870903,170433762.315386,165873977.801105,140560134.769268,160507675.114223,181051047.355817,169578756.162962,184718394.612119,210322093.556759,223549258.826132,301014357.778797,314038897.140142,283835745.105521,272934274.753837,306451402.712573,332400254.289673,330147278.73948,348672725.29226,363324481.153045,326874161.65079,306438573.576809,346281450.254454,383739877.542959,514463449.229697,522430455.515621,529481041.984864
Military expenditure (current USD),MS.MIL.XPND.CD,Brazil,BRA,382729752.052851,342339720.821958,387449035.549939,441999606.218533,354227857.06906,632869026.537902,718216574.564932,746139163.630054,755307566.684812,816622810.997187,1026234373.82096,1075071452.91974,1195501487.56211,1512670977.08737,1790114213.37072,2141126693.28147,2576476981.66804,2499644658.35739,2690623101.76157,2829161199.58493,2259307478.86009,2517859757.17182,3031328924.09642,2082669250.91503,2013151757.88161,2687049984.34728,2758186568.47748,4323674770.1207,5874167752.84461,8761486965.81023,9236296955.40526,6694665295.15063,4993804466.92814,7099899155.09737,10591499118.3781,14318919608.0931,14073226544.6224,13934266551.6378,14357357046.8411,9866973918.50843,11344032534.9018,10930231568.3746,9664561903.32699,8392905884.03499,9780111585.16574,13588619736.3611,16404867307.489,20485758014.6477,24452903035.8224,25648809910.8246,34002944470.0238,36936209895.8053,33987005074.0629,32874787230.5887,32659614240.8021,24617701683.0655,24224746901.4667,29283050314.4654,27766427104.014
Military expenditure (current USD),MS.MIL.XPND.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97366249.7421569,101752153.262278,110162485.877782,104464429.861632,178392184.534044,186129028.949986,231168587.554413,245434285.548899,251692787.466927,233941291.875801,261876080.238831,285738475.214833,328359479.163712,369070790.202113,293977055.449331,258413177.892104,244205201.976844,217667939.186927,226182431.489062,243373245.014866,199381149.311041,248588079.788512,293436463.532062,323137150.819455,361989034.484219,349759722.804678,390719540.010708,415371528.964711,411261473.947038,412094279.75415,527785231.721177,424022039.167265,403366488.712977,346706804.42155,346588691.003794
Military expenditure (current USD),MS.MIL.XPND.CD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2071428571.42857,794520547.945205,232176386.59336,255770911.521259,282674243.302795,241993434.773533,311147105.587547,213616356.26711,244369396.151925,320389011.33859,357224539.583311,351343204.852869,406003542.804308,455950466.542769,569054077.451376,650748201.712896,699433973.051781,750992451.595939,1032154228.33351,1038051932.51167,963254164.030454,893467533.961919,829031753.480369,807529319.010545,899584003.474555,835716950.628033,660847880.299252,755406457.646367,824187016.888685,1095591046.96115
