Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,1.82863870207012,1.89847565283934,1.96575051142112,2.02989338459837,2.09024767251581,2.14756657671872,2.17100878515664,2.18810774747517,2.25457212371635,2.38472049984008,2.53659948895689,2.66519232885823,2.71452275236408,2.65911595143119,2.47943603015081,2.20078031913849,1.98142011036831,1.74783888214604,1.28161659455905,0.52225998440758,-0.407546008918242,-1.3935442488808,-2.21965641097275,-2.71294766241586,-2.6954804935256,-2.20436802009669,-1.70677200088966,-1.12804091251677,0.116016612231607,2.1363545952905,4.47689650838849,6.90015617480998,8.54612019554754,8.79088864126614,7.6597770327302,5.88425681193136,4.01946819541008,2.63653889246912,1.9473185295401,2.17043897031679,2.97505284644171,3.90280570094654,4.49671956064979,4.66836149396509,4.3215392956708,3.68273179651497,2.99047809385985,2.49384229934363,2.26827714453847,2.39702099079878,2.74657628012835,3.14312590262153,3.40758697372751,3.49458904891961,3.35558166118149,3.07708359546317,2.77831740938728,2.54834664435549,2.38476110022344,..
Population growth (annual %),SP.POP.GROW,Albania,ALB,3.01542305926732,3.12085537059054,3.05673050279088,2.95374876199632,2.88068642624326,2.75402123804227,2.63456387954101,2.63019034549493,2.84251071048949,2.8960833877323,2.55085117829323,2.4229720170788,2.49497310670312,2.36255222384825,2.29721417566909,2.3011538096943,2.20823525497527,2.21325217885547,2.07574189532527,1.98945701957156,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,..
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.51501654946763,2.48716480510207,2.46995425792679,2.4900754874982,2.55973106028047,2.65801662932119,2.76397530261668,2.84535916488485,2.88495927358202,2.87222355590979,2.8274547451992,2.77661589490857,2.74396622362803,2.73495901767324,2.75733635253731,2.80071883984573,2.83809029715134,2.86792986291784,2.91100574775562,2.96918572434158,3.03090472527547,3.08704800852557,3.12162711240806,3.12371195818026,3.08758016794359,3.02286094051312,2.94697219159109,2.86684602165527,2.77584895427799,2.67514474264032,2.56645657133517,2.46031589342803,2.35032732559065,2.22162937165606,2.07085775129983,1.90982147845309,1.75317579614436,1.61528329807518,1.50088576780198,1.41626567134276,1.35840780581394,1.30984253035285,1.27506554250519,1.27591463464404,1.31784619068686,1.38990052346238,1.47112298248818,1.55138258255494,1.63619266255068,1.72209322425389,1.80501869558372,1.88331383359771,1.95141520944077,2.00272783896316,2.03359245164506,2.04538724285729,2.05135458384022,2.0449525028769,2.00737383000812,..
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,1.49701145974445,2.35247189772703,3.11099034150523,3.60886530413192,3.65394418066488,3.51667583733866,3.28279779672629,3.16260515982925,2.89264269126491,2.71025470687911,2.4415817221227,2.24411824101153,2.06192872027356,1.84859686984649,1.69010428858577,1.52899974436096,1.33538045732821,1.24646766689647,1.38794956761339,1.82531923980342,2.48419529085143,3.18051737767249,3.69058470524453,4.04650330820288,4.12657057988996,4.06174724738579,3.96887328692488,3.8664948105953,3.6819611007044,3.43795286697384,3.11690700845574,2.78675147783783,2.45698647931019,2.22768734898439,2.08512621504816,2.0256069940163,1.95587950788337,1.8459475835551,1.70572937649124,1.55800508932696,1.33713711153801,1.15721533829325,0.996827278798957,0.715107951953511,0.297017460458198,-0.199592495165648,-0.766842612103022,-1.2632965609983,-1.50705874156413,-1.41714655445276,-1.07129312461534,-0.572257860972145,-0.165132053391348,0.0826001124356282,0.139905317697601,0.0376333973958491,-0.127293769933909,-0.217311352480231,-0.279065761519574,..
Population growth (annual %),SP.POP.GROW,Andorra,AND,7.05066342219132,6.9415320954611,6.69269708670902,6.55952170294352,6.24151069431531,5.99879977214486,5.75087756594849,5.50070596390711,5.30981969916743,5.19828692759903,5.14754271628468,5.15012971397032,5.08393394934782,4.86272417661788,4.46119133593028,3.93575080490907,3.43172498782646,3.08012203010947,2.90511799697632,3.15393365060411,3.52438254092144,3.89626131306246,4.21395261940921,4.38424322371306,4.40165341781343,4.33944334402962,4.20839781528901,4.08176950076047,4.00300186229743,3.91566517519316,3.85436230887431,3.88967903964987,3.83747187097437,3.47610065377555,2.75962128912424,1.85420282931456,0.795573964563408,-0.0512872329347217,-0.288007422613352,0.354831049582302,1.57216555086599,2.93999220643334,3.94257335261145,4.37544919255239,4.09892347776702,3.38241655431066,2.65998417750171,2.06633817520392,1.41464777938348,0.714097791683428,-0.0165766790187245,-0.834745268940163,-1.58872960217896,-2.02579215804424,-1.95147048010444,-1.52905843773571,-0.91946973790053,-0.383673622609079,0.00649321134981403,..
Population growth (annual %),SP.POP.GROW,Angola,AGO,1.36992577771498,1.3933627662113,1.38362932479965,1.2565547834921,0.973961709539141,0.617543972911335,0.184283276284964,-0.120652966743739,-0.0448817530991494,0.546044668037142,1.48991704690715,2.52146808739103,3.38171108492455,3.89849261216194,3.98923282045895,3.81058451002536,3.5730558546314,3.43275198936866,3.35406783728968,3.37420883071678,3.45440593300879,3.52364410710805,3.55288850621696,3.56732664173581,3.56424403564629,3.5478759816658,3.53169623028291,3.51440477390392,3.48240158939181,3.43442687920317,3.37848075385716,3.32445629073671,3.28031195167043,3.24664193567482,3.2261444934615,3.21685908016485,3.21423426008512,3.21732007158228,3.22894142127846,3.24924737691682,3.27720355508788,3.3011981819287,3.32925667399073,3.37881111015826,3.45301382916021,3.53755715435985,3.6195745593604,3.68063536954353,3.71053132219744,3.70387768309131,3.67146240136924,3.63415862558996,3.59777430762499,3.55195046716591,3.49749274416236,3.43885068439195,3.37827278015957,3.32208099815609,3.27613387502724,..
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,1.69164009355904,1.59443322031538,1.51569997178552,1.53011168770017,1.64246365637561,1.8171534659368,2.05212364311331,2.18900087182868,2.06856004542304,1.63244973284661,0.981789341992371,0.280081717940198,-0.348665618999707,-0.75597270413762,-0.836164846579675,-0.707503249326173,-0.492635471127033,-0.334067091918778,-0.198075671669254,-0.135497004309456,-0.140529998817271,-0.105122720229393,-0.0339863572324402,0.0129485457345611,-0.00161847652807987,0,-0.0518050845324151,-0.0599331034939804,0.0874578962198747,0.38294103138901,0.835104744110728,1.33287647813892,1.72722890909559,2.00547228608913,2.1462536413602,2.1579653065429,2.16511990310972,2.15829123913782,2.09767020274176,1.96087365674591,1.78118717946282,1.56110409210633,1.39288586317774,1.27543846433961,1.29797106515473,1.39556408625686,1.50944882987653,1.58583063065419,1.61846966116471,1.56733368819334,1.46706374334825,1.38200878529188,1.28687864245261,1.21700004179001,1.13648698752239,1.07883793719549,1.02184383470454,0.946557003363731,0.897185120114641,..
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.65143676503736,1.62470768887334,1.60014591602917,1.57528834914651,1.5492674271437,1.52433120854831,1.49770954205742,1.47757562846099,1.47576214177634,1.49660040888012,1.53152359684944,1.57460270107392,1.60948877182011,1.62267014536365,1.60666084879594,1.57216995572382,1.53044039529241,1.49916425937925,1.48785623048823,1.50368994755659,1.53700233733147,1.5719596815186,1.59642302115774,1.6105288467556,1.6103836979207,1.59856297736433,1.58480892092135,1.56895426879684,1.54182232360841,1.50177345442999,1.45298327770336,1.40143986117005,1.35218189218791,1.30605908818317,1.26531860252526,1.22923063031259,1.19361166344765,1.15948535284458,1.13226243882046,1.11335833997557,1.10058372499365,1.09207948287894,1.08355137141792,1.07199403993674,1.05538938422725,1.03628116758429,1.01544167038895,0.998858903672293,0.992593129814448,0.99954473407156,0.752213052268901,1.15305928006388,1.13690569378967,1.11910919999772,1.09946109101833,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908004,..
Population growth (annual %),SP.POP.GROW,Armenia,ARM,3.59649487876126,3.53170001544297,3.44421237096138,3.33039188036771,3.19372264113185,3.04491514947794,2.88452845659657,2.7343328194941,2.61670911468385,2.54060120851382,2.49171069897673,2.45045487763302,2.39704775754159,2.32331316869095,2.22233231224673,2.10516741793034,1.98596683740669,1.87884707414299,1.78516302810223,1.70984989984505,1.64733367104655,1.54750721392796,1.43788493402599,1.3962918795889,1.44093855226952,1.52055194214934,1.67430463664775,1.74408745952844,1.5154806482301,0.903695939797528,0.0479741395518128,-0.934580005345366,-1.79740952850657,-2.34244851960355,-2.39047607082837,-2.04033679929827,-1.53871861049144,-1.11508127761213,-0.781896829378965,-0.634591459310337,-0.63102079888531,-0.617751681128924,-0.54921814104521,-0.530280113243845,-0.571956874130282,-0.650321107289265,-0.773190355452283,-0.872160580518548,-0.856135015821493,-0.67381128030326,-0.37371186678708,-0.0271470078174168,0.267013214368239,0.46196664441067,0.510122729556191,0.450500902714805,0.361431439301066,0.294612227638995,0.236306378760517,..
Population growth (annual %),SP.POP.GROW,Aruba,ABW,3.148036835756,2.23814393117093,1.40962186505264,0.832452557842366,0.592649039152412,0.573468247603765,0.616990877551069,0.587373201209392,0.568529798893749,0.580642385486161,0.572211190382563,0.636272958290957,0.670693325671808,0.671204938221066,0.471968484224108,0.212897716260001,-0.117120177026253,-0.36378107450423,-0.436627543728453,-0.204858377982101,0.193211026493461,0.780690671039871,1.27634779469497,1.38574085431692,1.01570808513779,0.301918202997092,-0.607943306347674,-1.30307040749174,-1.22690942840459,-0.0769791457295957,1.81364109347592,3.90201823649442,5.44027196024455,6.06841030624035,5.62599756207299,4.61667471270029,3.51788923269496,2.66957644161067,2.11438565551552,1.96055791309717,2.0550267831539,2.22593013018195,2.22905604655647,2.10935433511798,1.75735286660729,1.30203884024471,0.799546240315869,0.384052418046932,0.134267963699872,0.0956546250941544,0.210708807602047,0.370125351972654,0.502430115702537,0.582349411407937,0.594397037400125,0.544892394001668,0.507617729505083,0.469944452626446,0.453575638777095,..
